user_id,city,n_pano_visited,n_pano_with_label,n_keyboard_interaction,n_pan_interaction
cf3758c1-a330-4455-9496-254199bb7f2f,columbus,347,127,54,29589
cf44d1aa-2bd2-4886-a154-1419ef6e1213,columbus,34,6,96,2906
d191dcf6-ed4a-486d-9700-6f70482ef1e1,columbus,135,39,71,9989
d309d6be-2bf7-464d-9cc0-583bfef246eb,columbus,256,40,213,30929
d343047b-6e79-4558-a96a-9a919bcbfdcc,columbus,161,79,382,23348
d4c3cd86-f7f6-4300-8b43-dc54013bf306,columbus,45,15,8,6427
d50298fd-7060-40cc-a808-ed99fe46ad73,columbus,233,79,944,23652
d50cc5ac-ccbb-4df0-bd6d-5021c696f31b,columbus,604,170,1079,43307
d720fe9d-93d0-4220-aa61-9fc15c0a72da,columbus,176,67,293,7398
d95faffd-998e-492e-bc69-cf365d1ed41d,columbus,66,10,161,6151
d9bbf1ea-dfac-4802-84a2-ce5259ffb38d,columbus,217,107,550,24363
d9e68723-49de-4b5d-88d6-e88c13b318ae,columbus,195,75,160,21178
dae9c525-78d9-4113-98b3-efaedd6e6cc9,columbus,1806,739,771,118419
dcd373e3-4b0b-43f4-a1db-0bf0e98bb80c,columbus,128,14,6,7068
df1cd73b-c79d-4bac-86a6-d4a775c5089d,columbus,80,16,64,3716
e0189f70-ae87-491f-849f-fc0dfd868fac,columbus,113,53,110,16808
e2e52e31-8abc-4f41-be65-fc3accd83cfa,columbus,20,7,1,2447
e4e61654-8a76-4d9f-a7b5-10c30a1bb17b,columbus,39,14,21,978
e6410fb9-8741-47b7-a6ed-db990043bc85,columbus,656,237,813,72811
e67d6835-664c-4731-9254-f6461afbd3b4,columbus,192,44,240,23714
ee82d981-09f9-48a1-8c1c-d402c8980e0e,columbus,55,18,76,3216
efb21bbd-562c-4b1b-948b-bf9a307b76ae,columbus,95,37,11,15786
f224585f-8e79-48d9-89a2-90422ebc6550,columbus,78,20,62,3091
f276e210-0378-47d6-9f11-702ef4e4782c,columbus,35,19,71,4713
f34de60c-1bb6-4685-a7c7-c2aaffaed0c7,columbus,32,13,0,2774
f38c9d86-5cd1-4614-b61a-d57693566b64,columbus,57,25,71,14956
f718a182-6312-45fd-a402-ce16b7931b06,columbus,91,24,10,11647
f75966e0-eff3-48c2-b3ef-77c2c895f2e2,columbus,32,20,9,5622
f767684a-d206-4aec-90f7-1320cd5b15e4,columbus,142,29,3,7224
fd73de2e-ad72-4570-abb8-8caf1643f234,columbus,11,7,268,1134
01185ee9-be8e-4154-abf5-1d823b639756,cdmx,301,98,142,25174
0232f5a5-79c5-491e-bd54-9b4577fbfe4a,cdmx,41,8,23,9779
028bda7f-202d-4860-b057-4fb3e2e3b0e4,cdmx,673,140,138,30861
03fd95f8-f226-433b-b5cd-5323cd34f727,cdmx,41,18,49,2661
04966d94-c80c-4594-a4f1-1a4a5a5b9f11,cdmx,49,31,3,5691
068b9623-722b-4b17-9c19-148ffdc1f3c1,cdmx,679,256,250,46701
