user_id,n_pano_visited,n_pano_with_label,n_keyboard_interaction,n_pan_interaction
ce993fd7-3a84-4155-acb6-f4fa5d5c8d2b,78,18,0,6066
cea9e332-0eca-40e2-84bd-8918b6bc9a1c,79,18,238,14024
d023103b-1607-4efa-97d9-083b057da624,29,4,282,2679
d06430a7-f741-40b2-bd15-2c8ea742cca4,39,7,127,3079
d0a9beee-5a86-4968-87ab-e9505311d6b0,54,15,376,4442
d232fb1b-5859-45e3-8fcd-cd9bcfceef4d,128,21,3,27197
d2352eb4-f6a4-486a-9191-e5df49f3f630,37,9,46,6505
d28773ff-5d91-4bdb-8609-26ec40e9929e,60,25,42,5957
d2b04e27-13ce-4aff-a06a-7c7147c96696,1804,479,2246,178792
d2d41e99-a5d3-4320-b73a-99aba44437c0,11,7,0,4889
d3636d4c-2d16-410c-bf44-c066ecaf1c31,1515,359,1551,76555
d4adb1eb-4ecf-40d4-8ee6-8f23df4b0c05,37,16,78,6852
d4d5f6d6-3f75-4976-a633-7d3e9d2e5c1f,66,28,579,4983
d52dc403-5474-4140-946a-74a09070835b,38,18,189,4879
d5e1a7c0-b593-4246-b32f-b82136c4accc,116,41,29,17910
d630897c-5f5a-4338-b7af-f4c225eb808e,68,23,413,12113
d711b30e-6127-461c-bb6b-a761a4812bda,34,6,67,10501
d76b0c4f-573c-42d2-851f-959cfbc3976b,25,8,5,4405
d7c25682-6a75-4346-818f-0099909e37c1,9,3,1,1031
d7e0172f-3d59-44e0-ae32-64f3b9015c2a,28,7,100,1528
d7e3d340-ccaf-46fe-96c2-f00ba2c21707,35,13,0,2431
d7f9398e-b348-4e9a-95c1-d5b307f941c2,64,10,95,5868
d8ca6ac6-7dcf-441f-80f1-083c141162f6,43,5,495,2801
d925a9e3-d171-48ce-a3c8-44b82aa69cfe,48,22,315,4215
d9a2cebf-0500-4bcc-bee6-38c6537261c6,387,134,871,12756
d9aaf6f1-beb2-4105-ac93-c9a259246741,45,9,31,5232
da016cec-d8de-459f-922c-fd224c2ebce4,114,27,254,18189
dada416e-535f-4bb3-a213-172a8a94b581,163,51,513,36463
db8156bc-0d00-4f04-b37b-8afeae49ac15,48,9,250,3357
dba3f80e-25eb-4815-aa4a-d23dd7123bb5,22,9,0,5801
dc73a7a8-1912-4c37-9db6-43451994f7dc,207,24,9,5657
dce5984b-25d9-48f9-b8b7-640202b3be3c,511,139,1702,63740
dd10a183-4ec6-4d5b-ba1e-160bf00f29d4,75,31,71,1869
dd6ff285-89f2-4273-a761-ca83c4004e3b,70,18,166,4615
de973f74-93dd-4cd5-9570-f1038592331a,49,9,77,4437
dfffc059-6649-430f-965d-4040138468e3,230,33,20,4416
e00b3150-0ddb-4efa-a0ca-c1c745648441,63,15,0,4820
e0553cc7-41e3-48d2-8a78-5e4d5a5735dc,119,64,23,14324
e0b3316c-6d15-48ab-9bd3-3eceafc14059,95,11,324,10828
e272c3a0-0ecf-4291-8854-88ef9e3b9f4a,65,13,281,6032
e277369c-38bd-4d01-822d-e8e653bffbff,126,12,20,5155
e3c899e8-b9d4-4393-b047-bdaf61b229d0,63,16,0,4619
e46bebd8-8e5c-498b-adcb-72210a9c4b4f,73,7,0,10853
e4ff325c-309b-4ea6-8555-8f973e662362,995,435,4480,81772
e5540dc7-88a6-4165-a8b5-82693ba3cbfa,19,6,0,2794
e5d90449-cebd-475d-8335-ab3aeda30917,21,5,3,2545
e6953769-ef1b-41ee-894c-adc172c7b416,30,18,364,7653
