user_id,n_pano_visited,n_pano_with_label,n_keyboard_interaction,n_pan_interaction
daa9480f-5301-478f-86ed-da57a3f88c3b,937,501,55,36483
dac3e987-9f83-400b-97ae-880bb7277714,91,52,109,12101
dcd750b1-252b-4fa0-bd00-9974ba86423e,14,7,11,690
dce28029-6279-4f32-8e7c-ddd635849a99,30,16,2,3168
dd6db17f-d7d4-45f9-8f39-5fd80d4bbc96,71,14,34,4733
de73843c-1a97-4b43-aec0-dedea063557f,753,293,429,67436
dfc54f10-8790-422a-982b-29268cebd674,238,103,15,34187
dfe49055-2bf9-4a97-8a7b-ed5a1af9ceee,269,189,16,30432
e063c706-0e97-4a75-909a-f90b4e7b0314,89,43,120,7641
e09adf6d-bdb7-47ee-9b6b-1fddf2694502,236,105,312,19605
e1ab1a19-40b2-499c-9bf4-dc3af2f3d915,74,15,6,5668
e25dab51-da49-4547-bfd1-a9a3ddc5dde1,256,94,27,21738
e2f72109-b9c7-4fc8-ba8d-3ac1e321cc2d,19,13,20,515
e5209185-bd10-42f3-b8f0-ee579bebe5e3,24,8,4,1694
e5d8b30d-aeed-4259-91be-9c9c575ec247,22,6,4,1282
e5e185eb-040d-4419-95fc-615066ff4fe8,1636,472,456,118809
e6218150-e58e-4e63-adca-065b1ac638f0,90,58,593,7353
e6edc4f5-5676-427e-a1c4-8be4cc64bc2e,21,11,15,751
e8fe5abd-4996-4cbf-ba01-6cb67620095b,735,177,28,38888
e92d92f4-21da-4383-9587-76dcb6f90ba2,18,12,0,7782
ea1eb0ef-ca76-4b5a-8de1-8dffa29c6d43,80,63,368,5152
ea32a23c-9629-41b8-a7bc-e577dd53ca4b,37,12,13,1522
ea75def2-cb11-4921-80cb-e969251cf07e,27,14,2,6124
eaddfadf-17fd-4d39-b45c-0837642cc80b,1721,387,661,104784
eb635e68-e5f4-478a-af79-9a587fac4686,91,22,2124,5167
eb79d390-46bf-413d-af66-01a95db9fa49,180,114,510,14942
ebf04d83-1787-4cac-98a9-db26df5c1edd,222,111,11927,14677
ed141ca9-ec8e-4132-8f5d-1d62a23ae5b1,1225,497,74,103248
ed9210ab-e2fb-4503-ae0f-5ec0c11362b7,209,58,0,17387
ee12f894-7fc3-48d4-99d6-d00d8dbac67f,673,298,201,44130
ee629c2f-35f7-4d38-8a33-3a0e9193db3c,28,15,1,3838
f11a720f-897f-4d23-95d9-e106d46e77f3,22,4,0,2704
f1a994c8-c8f8-4a44-8439-3b9f9ffe6097,19,10,2,2201
f3139b91-1c73-4b93-8616-465f2b2717e9,815,229,46,33841
f32e45a4-7e8b-4af2-bdb9-87fbcefa72a8,113,44,47,6618
f3f37948-cdc2-46b6-827b-0782b9b8e4c6,369,142,17,19222
f5df668b-90c6-4235-9c39-86e4652a7497,1139,570,175,67358
f72f5892-7a34-43a5-b678-abcc6171339e,331,172,107,42615
f7df4c55-e280-4867-895a-f462cebc09e7,2258,1233,221,218673
f89267e4-4c0d-4944-8b07-62760b42d1e2,782,190,1134,58215
f8a817a7-8126-42b8-b5f3-7253fd09bc6a,559,306,111,62930
f96ee71b-1a3b-49fd-bf74-2187600ad872,46,20,0,8871
fbf2e9de-3130-4550-9265-7745f646ef0c,25,18,1,466
fd0d2af9-0e11-4571-9118-1ffc2f9a5ac7,330,261,528,39562
fd5e9df0-2c5f-4826-b793-41785cf5d7a0,25,14,104,5557
fedde65c-9043-49d8-98a8-ea645a194071,150,92,156,7804
fee843c3-ce4b-4b4f-a1cb-208b00a347aa,44,15,1,4580
